CustomerKey,Recency,Frequency,Monetary,R,F,M,RFM_Score,segment,Response
93,60,27,7777.8730999999998,1,3,3,133,Almost Lost Customers,1
94,60,142,65140.3868,1,3,3,133,Almost Lost Customers,1
95,304,1,323.99400000000003,3,1,2,312,New Customers,1
96,60,264,284305.63010000001,1,3,3,133,Almost Lost Customers,1
97,121,332,724299.63639999996,2,3,3,233,Potential Loyal Customers,1
98,152,85,94374.002200000003,2,3,3,233,Potential Loyal Customers,1
99,822,64,153310.57869999998,3,3,3,333,Best Customers,1
100,91,6,3385.3678,1,3,3,133,Almost Lost Customers,1
192,91,61,41565.9496,1,3,3,133,Almost Lost Customers,1
193,60,33,12649.610000000001,1,3,3,133,Almost Lost Customers,1
194,91,103,35248.764999999999,1,3,3,133,Almost Lost Customers,1
195,60,39,25242.5317,1,3,3,133,Almost Lost Customers,1
196,121,16,8644.6718000000001,2,3,3,233,Potential Loyal Customers,1
197,457,38,61809.1325,3,3,3,333,Best Customers,1
198,243,19,12790.0805,3,3,3,333,Best Customers,1
199,121,29,11934.6698,2,3,3,233,Potential Loyal Customers,1
200,121,59,40268.897799999999,2,3,3,233,Potential Loyal Customers,1
293,121,104,103282.8153,2,3,3,233,Potential Loyal Customers,1
294,91,3,2074.6979999999999,1,2,3,123,Almost Lost Customers,1
295,121,55,44990.005499999999,2,3,3,233,Potential Loyal Customers,1
296,91,50,39484.315799999997,1,3,3,133,Almost Lost Customers,1
297,91,60,49438.8177,1,3,3,133,Almost Lost Customers,1
298,60,34,29527.997599999999,1,3,3,133,Almost Lost Customers,1
299,487,6,639.98130000000003,3,3,2,332,Potential Loyal Customers,1
300,121,317,309077.41039999999,2,3,3,233,Potential Loyal Customers,1
393,457,23,19151.57,3,3,3,333,Best Customers,1
394,60,55,58775.069100000001,1,3,3,133,Almost Lost Customers,1
395,60,22,29218.357500000002,1,3,3,133,Almost Lost Customers,1
396,121,44,29651.1109,2,3,3,233,Potential Loyal Customers,1
397,91,125,193708.595,1,3,3,133,Almost Lost Customers,1
398,60,7,2225.328,1,3,3,133,Almost Lost Customers,1
399,426,14,2254.7752999999998,3,3,3,333,Best Customers,1
400,699,58,87201.314299999998,3,3,3,333,Best Customers,1
493,426,22,17162.951700000001,3,3,3,333,Best Customers,1
494,91,17,12728.322,1,3,3,133,Almost Lost Customers,1
495,91,2,443.97000000000003,1,1,2,112,Lost Customers,1
496,91,60,34174.921699999999,1,3,3,133,Almost Lost Customers,1
497,426,13,1618.393,3,3,2,332,Potential Loyal Customers,1
498,121,87,85647.436799999996,2,3,3,233,Potential Loyal Customers,1
499,60,67,31751.776300000001,1,3,3,133,Almost Lost Customers,1
500,91,68,18779.825100000002,1,3,3,133,Almost Lost Customers,1
594,41,3,37.269999999999996,1,2,1,121,Lost Customers,1
595,355,1,3.9900000000000002,3,1,1,311,New Customers,1
596,50,5,4228.3099999999995,1,3,3,133,Almost Lost Customers,1
597,102,2,1155.48,1,1,2,112,Lost Customers,1
598,127,2,39.980000000000004,2,1,1,211,New Customers,1
599,102,3,60.469999999999999,1,2,1,121,Lost Customers,1
600,301,4,562.96000000000004,3,2,2,322,Potential Loyal Customers,1
693,791,75,83457.108900000007,3,3,3,333,Best Customers,1
694,91,71,88245.872700000007,1,3,3,133,Almost Lost Customers,1
695,60,141,115085.6355,1,3,3,133,Almost Lost Customers,1
696,91,147,98367.415699999998,1,3,3,133,Almost Lost Customers,1
697,91,229,338939.20010000002,1,3,3,133,Almost Lost Customers,1
698,91,170,228419.94589999999,1,3,3,133,Almost Lost Customers,1
699,121,92,131724.3187,2,3,3,233,Potential Loyal Customers,1
700,60,146,106761.0879,1,3,3,133,Almost Lost Customers,1
795,124,3,4379.0781999999999,2,2,3,223,Potential Loyal Customers,1
796,271,5,2770.5225,3,3,3,333,Best Customers,1
797,8,10,325.20999999999998,1,3,2,132,Almost Lost Customers,1
798,118,3,1938.47,2,2,2,222,Potential Loyal Customers,1
799,260,1,69.989999999999995,3,1,1,311,New Customers,1
800,58,3,36.269999999999996,1,2,1,121,Lost Customers,1
894,86,10,7075.2699999999995,1,3,3,133,Almost Lost Customers,1
895,73,3,553.97000000000003,1,2,2,122,Almost Lost Customers,1
896,197,3,42.280000000000001,2,2,1,221,New Customers,1
897,217,1,29.989999999999998,2,1,1,211,New Customers,1
898,172,5,4385.0299999999997,2,3,3,233,Potential Loyal Customers,1
899,243,3,1744.97,3,2,2,322,Potential Loyal Customers,1
900,103,4,4173.2399999999998,1,2,3,123,Almost Lost Customers,1
994,315,5,72.159999999999997,3,3,2,332,Potential Loyal Customers,1
995,277,3,43.969999999999999,3,2,1,321,New Customers,1
996,179,3,48.969999999999999,2,2,1,221,New Customers,1
997,213,5,4167.3099999999995,2,3,3,233,Potential Loyal Customers,1
998,56,5,6685.5900000000001,1,3,3,133,Almost Lost Customers,1
999,75,2,34.979999999999997,1,1,1,111,Lost Customers,1
1000,414,1,2049.0981999999999,3,1,2,312,New Customers,1
1095,300,4,567.75999999999999,3,2,2,322,Potential Loyal Customers,1
1096,93,3,15.23,1,2,1,121,Lost Customers,1
